fragment,category,weight,subcat
6519 A1 ,Car/Gas/Tolls/Parking/repair,5,
PAG.IGCP,Income Taxes,5,
SMAS CALDAS,Water Bill,5,
HOSPITAL LUZ,Medical + Birth,5,
SUPERMERCADO,Groceries,5,
THE BLACK SHEEP PUB,Restaurants/Dinner Take Out,5,
VINTAGE SPECTRUM,Restaurants/Dinner Take Out,5,
BALLET,Hella's Hobbies and Sports,5,
PLAYTOMIC,Chris Hobbies,5,
GOOD MART CALDAS,Caldas home wares etc,5,
BOL QUEIJAS,Family Entertainment,5,
VIKING,Family Vacations,5,
FNAC,"Books, mostly hella",5,
NOTE ,"Books, mostly hella",5,
KID TO KID,Kids Clothing and Baby Gear,5,
SPRINGFIELD,"Chris Clothing, Shoes, & Accessories",5,
TRF MB WAY P/ *****6234,"Children's Enrichment Classes",5,J Santos
CHILDRENS WORLD,"Children's Enrichment Classes",5,Dr. Andreia
SANAPSY,"Children's Enrichment Classes",5,J Santos
AIRALO,Chris Travel,5,
Vinted Vilnius,Fraud,5,
Vinted,Kids Clothing and Baby Gear,3,
COLEGIO RAINHA,School Tuition and Fees,4,
CORREIOS,Legal & Administrative Fees,4,
DD PT61111450 CTT - AGUA/GAS,Water Bill,4,
IHERB,Medical + Birth,4,Pharmacy
PIZZA HUT,Restaurants/Dinner Take Out,4,
WHAT THE FOLK,Hella's Lunches/Fast Food,4,
SPORT ZONE VIVACI,Chris Hobbies,4,
RAILWAY,Chris Hobbies,4,
Vasiliki Flora,Lessons & Learning,4,
GRUTAS,Family Entertainment,4,
SALAMANCA,Family Vacations,4,SALAMANCA
BERTRAND,"Books, mostly hella",4,
STAPLES,"Books, mostly hella",4,
EL CORTE INGLES-,Kids Clothing and Baby Gear,4,
GOFNDME,Charity/Activist Contributions,4,
TRF MB way P/ *****6234,"Children's Enrichment Classes",4,J Santos
BALANCE CLUB,Fitness & Health Hacking,4,Balance
HELP.HBOMAX.COM,Media Subscriptions,4,HBO Max
TURTLECHAPTER,Hella Travel,4,
ATM 0885,Hella Cash Spending,4,
WASTE MANAGEMENT,2621 Expenses,4
FLIXBUS.COM,transit,3,
CRDL,School Tuition and Fees,3,
DISPONIBILIZACAO,Legal & Administrative Fees,3,
COMISSAO TRE MBWAY,Legal & Administrative Fees,3,
CVS/PHARMACY,Medical + Birth,3,
SPAR VILA NOVA,Groceries,3,
PROHIBITION,Restaurants/Dinner Take Out,3,
KASTHAMANDAP,Restaurants/Dinner Take Out,3,
RESTAURANTE,Restaurants/Dinner Take Out,3,
TIGER BELLY,Restaurants/Dinner Take Out,3,
UNIQUE COFFEE,Hella's Lunches/Fast Food,3,
AGRILOJA,Caldas home wares etc,3,
CINEPLACE,Family Entertainment,3,
MOSTEIRO,Family Entertainment,3,
REBECCA MC KINLEY,Family Vacations,3,
Cars on Booking,Family Vacations,1,
PORTO EDITORA,"Books, mostly hella",3,
MANGO DE CALDAS,"Hella Clothing, Shoes, Accessories",3,
MB way P/ *****3313,"Children's Enrichment Classes",3,Marg Cunha
MOMMASTRONG,Fitness & Health Hacking,3,
hbomax.com,Media Subscriptions,3,HBO Max
NYTimes,Media Subscriptions,3,
PARIS,Hella Travel,3,
SERVICE NAVIGO,Hella Travel,3,
AMZN Mktp,Amazon -- already categorized individulally,3,
PASSPORT FEES,Legal & Administrative Fees,2,
ANNUAL MEMBERSHIP FEE,Legal & Administrative Fees,2,
0885 A15 ,Car/Gas/Tolls/Parking/repair,2,
FIDELIDADE,Car/Gas/Tolls/Parking/repair,2,Insurance
TAXACT,Income Taxes,2,
VODAFONE,Google Fi + Cell phone,2,Vodafone
HOSP CUF,Medical + Birth,2,
 OPTICAS,Medical + Birth,2,Glasses/Contacts
ALMAGEMEDICAL,Medical + Birth,2,
WELL S ,Groceries,2,WELLS
WELLS OPTICA,Groceries,2,WELLS
GUACAMOLE,Chris's Lunches/Fast Food,2,
COCKPIT BAR,Chris's Lunches/Fast Food,2,
BRILHANTES,Chris's Lunches/Fast Food,2,
OUTBECO,Restaurants/Dinner Take Out,2,
PROUD EARTH,Restaurants/Dinner Take Out,2,
Gauchos Hamburgueria,Restaurants/Dinner Take Out,2,
MATA BICHO,Restaurants/Dinner Take Out,2,
MUSARANHOS,Restaurants/Dinner Take Out,2,
O CASTIGO,Restaurants/Dinner Take Out,2,
QUINTA SENHORA DO ARRIO,Restaurants/Dinner Take Out,2,
UNRWAUSA.ORG,Hella's Hobbies and Sports,2,
Deporvillage,Hella's Hobbies and Sports,2,
Strava Ireland Limited,Hella's Hobbies and Sports,2,
CUF SANTAREM CAFE,Hella's Lunches/Fast Food,2,
TRACA TRAPOS,Hella's Lunches/Fast Food,2,
FIVE GUYS,Hella's Lunches/Fast Food,2,
OASA ETICKET,Hellas Podcast,2,
TENNIS,Chris Hobbies,2,
ESCOLA DE VELA,Chris Hobbies,2,
HIPERFAMILIA,Caldas home wares etc,2,
WORTEN,Caldas home wares etc,2,
FORUM CHINA,Caldas home wares etc,2,
MB WAY P/ *****2455,Caldas home wares etc,2,
****#*4493,Lessons & Learning,2,IRIS
Ordem Pagamento s/Estrangeiro,Lessons & Learning,2,Greek
TCD.IE STUDENT FINANCE,Lessons & Learning,2,
Hobbii,Hella's yarn and crafts,2,
GELATARIA,Family Entertainment,2,
VILA NATAL,Family Entertainment,2,
JARDIM ZOOLOGICO,Family Entertainment,2,
PONTA DELGADA,Family Vacations,2,sao miguel
SANTAGLORIA,Family Vacations,2,
ESTREMOZ,Family Vacations,2,
PARKING OBISPO GALARZA,Family Vacations,2,
EXTREMADUR,Family Vacations,2,
EXPPINTOR,Family Vacations,2,
GetYourGuide,Family Vacations,2,
AIRBNB * HMP48WRMRE,Family Vacations,2,
AIRBNB * HMR53ZJC59,Family Vacations,2,
LIVRARIA,"Books, mostly hella",2,
TEACHERSPAYTEACHERS.COM,"Books, mostly hella",2,Kids Books
GIRL SCOUTS,"Birthdays, Christmas, Gifts, Parties",2,
COMERCIO ARTIGO,"Birthdays, Christmas, Gifts, Parties",2,
TRF MB WAY P/ *****8823,"Birthdays, Christmas, Gifts, Parties",2,KIDS RAINHA ZOE
ALE HOP,"Birthdays, Christmas, Gifts, Parties",2,
H.M.ROSA,"Birthdays, Christmas, Gifts, Parties",2,
TANIMARA COMERCIO,"Birthdays, Christmas, Gifts, Parties",2,
NOGUEIRA,"Birthdays, Christmas, Gifts, Parties",2,
ALE HOP,"Birthdays, Christmas, Gifts, Parties",2,
COCCODRILLO,Kids Clothing and Baby Gear,2,
MO CALDAS DA RAINHA,Kids Clothing and Baby Gear,2,
IMPERIO DA CRIANCA,Kids Clothing and Baby Gear,2,
HM Lisbon,Kids Clothing and Baby Gear,2,
GUIMARAES,Kids Clothing and Baby Gear,2,
LEFTIES,Kids Clothing and Baby Gear,2,
MARGARIDA MARIA,"Hella Clothing, Shoes, Accessories",2,
